idpopulation	idplant	elapar	turruf	chlluc	tyrmel	mimsat	pitsul	tyrsav	myimon		
Magdalena	MG12	1	0	0	0	0	0	0	0		
Magdalena	MG15	0	1	0	0	0	0	0	0		
Magdalena	MG35	1	0	0	0	0	0	0	0		
Magdalena	MG16	0	0	1	0	0	0	0	0		
Ranchos	RA1	0	0	0	1	0	0	0	0		
Ranchos	RA3	0	0	0	0	1	0	0	0		
Ranchos	RA5	0	2	0	0	1	0	0	0		
Ranchos	RA10	0	0	0	0	1	0	0	0		
Ranchos	RA12	0	0	0	0	2	4	0	0		
Ranchos	RA16	0	0	0	0	0	1	0	0		
Ranchos	RA22	0	1	0	0	0	0	1	0		
Ranchos	RA23	0	0	0	0	0	0	1	0		
Ranchos	RA29	0	0	0	0	0	1	0	0		
Ranchos	RA30	0	0	0	0	0	1	0	0		
Ranchos	RA32	0	0	0	0	0	1	0	0		
Ranchos	RA33	0	0	0	0	0	1	0	0		
Ranchos	RA34	0	0	0	0	2	1	0	0		
Ranchos	RA39	0	0	0	1	3	0	0	0		
Ranchos	RA42	0	0	0	0	3	0	0	0		
Ranchos	RA45	0	0	0	1	0	0	0	0		
Ranchos	RA49	0	0	0	2	0	0	0	0		
La_Plata	LP6	0	0	0	0	0	1	0	0		
La_Plata	LP15	0	0	0	0	1	0	0	0		
La_Plata	LP10	0	0	0	0	0	1	0	0		
La_Plata	LP42	0	0	0	0	0	1	0	0		
La_Plata	LP36	0	1	0	0	0	0	0	0		
La_Plata	LP5	0	1	0	0	0	0	0	0		
La_Plata	LP59	0	0	0	0	2	0	0	2		
La_Plata	LP61	0	0	0	0	1	0	0	4		
La_Plata	LP33	0	1	0	0	0	0	0	0		
La_Plata	LP8	0	1	0	0	0	0	0	0		
La_Plata	LP46	0	2	0	0	1	0	0	0		
