population	idplant	idfruit	mass_g	seedn	length	diam	pulp_sugar_bx	peel_sugar_bx
urban	LP1	LP1-1	4.1	25	30.79	22.38	NA	NA
urban	LP1	LP1-2	15.9	197	NA	NA	NA	NA
urban	LP1	LP1-3	NA	NA	42.51	33.94	NA	NA
urban	LP10	LP10-1	NA	114	39.77	28.84	16.75	2.564
urban	LP10	LP10-2	6.9	99	39.86	30.43	18.5	6.061
urban	LP10	LP10-3	6.3	94	39.2	30.34	19	1.917
urban	LP11	LP11-1	14.3	287	46.29	32.93	NA	NA
urban	LP11	LP11-2	2.7	43	27.94	19.23	NA	NA
urban	LP11	LP11-3	20.1	370	53.03	39.52	24.25	NA
urban	LP12	LP12-1	10.9	189	36.71	33.28	22	2.283
urban	LP12	LP12-2	9	180	33.65	32.54	20	2.176
urban	LP12	LP12-3	10.6	194	36.73	32.42	21.5	3.433
urban	LP12	LP12-4	10.7	192	35.76	30.86	22	4.041
urban	LP12	LP12-5	5.2	98	29.22	22.29	18.5	4.079
urban	LP13	LP13-1	11.3	164	37.26	31.77	NA	1.5
urban	LP13	LP13-2	6.9	101	33.92	29.26	NA	1.981
urban	LP13	LP13-3	5.5	71	32.94	27.31	NA	3.259
urban	LP13	LP13-4	8.5	131	32.58	28.41	NA	2.083
urban	LP13	LP13-5	6.2	83	29.93	26.26	NA	2.012
urban	LP14	LP14-1	12.6	239	42.2	34.41	NA	0.842
urban	LP14	LP14-2	10.5	166	32.33	31.72	NA	3.433
urban	LP14	LP14-3	10.6	230	35.28	30.82	NA	NA
urban	LP14	LP14-4	8.5	110	38.31	27.25	NA	6.345
urban	LP14	LP14-5	6.3	158	30	27.22	NA	1.426
urban	LP15	LP15-1	6	101	37.25	25.89	33.5	2.183
urban	LP15	LP15-2	6.6	100	37.79	28.54	22.5	2.773
urban	LP15	LP15-3	4.6	NA	38.1	26.1	NA	4.857
urban	LP15	LP15-4	5.5	86	36.11	26.23	NA	2.636
urban	LP15	LP15-5	3.2	39	29.89	22.54	NA	5.5
urban	LP16	LP16-1	6.7	85	38.27	28.67	15.75	1.062
urban	LP16	LP16-2	7.9	98	33.61	27.43	17.25	1.746
urban	LP16	LP16-3	7.3	96	33.64	26.59	19.25	1.658
urban	LP16	LP16-4	6.2	81	30	24.53	18.75	2.136
urban	LP16	LP16-5	6.7	90	29.18	24.77	18.25	1.709
urban	LP17	LP17-1	8.6	98	38.12	30.41	22.25	1.714
urban	LP17	LP17-2	8.7	105	37.9	29.88	23	2.072
urban	LP17	LP17-3	6.8	76	35.68	28.71	22.25	1.513
urban	LP17	LP17-4	6.7	82	34.04	28.6	33	2.227
urban	LP17	LP17-5	5.1	65	30.02	25.21	23.5	3.389
urban	LP18	LP18-1	7.5	134	39.83	30.2	24.5	1.408
urban	LP18	LP18-2	9.1	182	34.9	28.78	14.25	1.826
urban	LP18	LP18-3	3.8	111	26.31	22.16	23	2.67
urban	LP18	LP18-4	5.6	103	33.68	23.92	23.25	NA
urban	LP18	LP18-5	5.6	149	26.88	25.23	NA	2.566
urban	LP19	LP19-1	8	60	44.73	34.47	NA	4.261
urban	LP19	LP19-2	7.6	79	45.79	30.74	19	1.909
urban	LP19	LP19-3	5.9	NA	34.97	31.63	21.5	2.464
urban	LP19	LP19-4	3.7	25	32.78	26.3	NA	1.464
urban	LP19	LP19-5	3.2	30	39.32	22.15	NA	2.143
urban	LP2	LP2-1	12.7	179	49.51	35.82	NA	NA
urban	LP2	LP2-2	14.2	160	49.93	35.26	15.25	1.286
urban	LP2	LP2-3	13.1	189	46.38	36.11	6.25	2.902
urban	LP2	LP2-4	11.6	132	40.28	34.22	8.5	1.787
urban	LP2	LP2-5	9.4	107	40.32	29.31	NA	NA
urban	LP25	LP25-1	21.2	227	50.38	42.02	NA	5.081
urban	LP25	LP25-2	14.8	201	48.52	36.02	NA	1.676
urban	LP25	LP25-3	9.6	113	39.69	31.9	NA	3.527
urban	LP25	LP25-4	8	81	39.23	30.84	NA	3.011
urban	LP25	LP25-5	4.5	60	31.96	24.28	NA	4.273
urban	LP26	LP26-1	5.5	77	40.21	30.97	23.75	1.451
urban	LP26	LP26-2	3.1	25	32.61	27.47	NA	3.041
urban	LP26	LP26-3	10.5	178	45.66	31.24	27	2.407
urban	LP26	LP26-4	3.1	11	36.9	28.49	NA	3.674
