population	date	idplant	idfruit	sugar_bx_obs	sample_mass_g	water_volume_uL	sample_type	true_sugar_bx
semiurban	04/10/2021	RA9	RA9-4	14.25	NA	NA	pulp	NA
semiurban	04/10/2021	RA23	RA23-1	18.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA46	RA46-5	18.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA37	RA37-2	7	NA	NA	pulp	NA
semiurban	04/10/2021	RA42	RA42-2	6	NA	NA	pulp	NA
semiurban	04/10/2021	RA44	RA44-1	16.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA27	RA27-5	11.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA9	RA9-2	15.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA26	RA26-1	8.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA27	RA27-2	13.25	NA	NA	pulp	NA
semiurban	04/10/2021	RA50	RA50-2	19	NA	NA	pulp	NA
semiurban	04/10/2021	RA33	RA33-5	12.25	NA	NA	pulp	NA
semiurban	04/10/2021	RA8	RA8-4	16	NA	NA	pulp	NA
semiurban	04/10/2021	RA12	RA12-4	14.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA11	RA11-1	16.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA14	RA14-2	13	NA	NA	pulp	NA
semiurban	04/10/2021	RA7	RA7-2	22.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA4	RA4-5	11.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA1	RA1-5	14.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA14	RA14-5	11.5	NA	NA	pulp	NA
urban	05/10/2021	LP18	LP18-2	14.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA19	RA19-3a	18	NA	NA	pulp	NA
semiurban	05/10/2021	RA13	RA13-4	19.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA19	RA19-3b	19.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA26	RA26-3	12	NA	NA	pulp	NA
semiurban	05/10/2021	RA47	RA47-4	21	NA	NA	pulp	NA
semiurban	05/10/2021	RA41	RA41-5	18	NA	NA	pulp	NA
semiurban	05/10/2021	RA37	RA37-3	6.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA38	RA38-3	12.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA9	RA9-1	15.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA33	RA33-4	14.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA34	RA34-3	13.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA38	RA38-5	16.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA40	RA40-2	18.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA12	RA12-1	13.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA11	RA11-5	17.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA33	RA33-2	16.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA29	RA29-3	11	NA	NA	pulp	NA
semiurban	05/10/2021	RA33	RA33-1	7.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA42	RA42-1	20.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA7	RA7-1	21.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA29	RA29-4	11.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA49	RA49-3	15.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA14	RA14-1	14	NA	NA	pulp	NA
semiurban	05/10/2021	RA28	RA28-2	11.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA19	RA19-1	16.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA6	RA6-5	14.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA15	RA15-4	24.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA9	RA9-3	18.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA38	RA38-3	16	NA	NA	pulp	NA
semiurban	05/10/2021	RA33	RA33-2	2	0.178	200	peel	4.247
semiurban	05/10/2021	RA40	RA40-2	2	0.11	200	peel	5.636
semiurban	05/10/2021	RA30	RA30-5	1	0.085	200	peel	3.353
semiurban	05/10/2021	RA42	RA42-2	1.75	0.16	100	peel	2.844
semiurban	05/10/2021	RA50	RA50-3	3.75	0.135	100	peel	6.528
semiurban	05/10/2021	RA43	RA43-1	21.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA31	RA31-1	10	NA	NA	pulp	NA
semiurban	05/10/2021	RA38	RA38-4	20.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA12	RA12-5	7.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA2	RA2-3	9.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA6	RA6-1	3.25	0.155	100	peel	5.347
semiurban	05/10/2021	RA12	RA12-4	4.75	0.123	100	peel	8.612
semiurban	05/10/2021	RA36	RA36-1	1	0.076	100	peel	2.316
semiurban	05/10/2021	RA20	RA20-5	3.5	0.084	100	peel	7.667
semiurban	05/10/2021	RA39	RA39-3	2	0.115	100	peel	3.739
semiurban	05/10/2021	RA9	RA9-4	2.75	0.106	100	peel	5.344
semiurban	05/10/2021	RA5	RA5-5	1	0.064	100	peel	2.563
semiurban	05/10/2021	RA44	RA44-4	1.25	0.052	100	peel	3.654
semiurban	05/10/2021	RA47	RA47-3	3	0.099	100	peel	6.03
semiurban	05/10/2021	RA23	RA23-3	3.25	0.118	100	peel	6.004
semiurban	05/10/2021	RA33	RA33-5	1	0.082	100	peel	2.22
semiurban	12/10/2021	RA40	RA40-5	3.25	0.124	100	peel	5.871
semiurban	12/10/2021	RA23	RA23-4	2.5	0.065	100	peel	6.346
semiurban	12/10/2021	RA1	RA1-3	1.5	0.164	100	peel	2.415
semiurban	12/10/2021	RA19	RA19-1	1.5	0.199	200	peel	3.008
semiurban	12/10/2021	RA13	RA13-1	2.5	0.111	100	peel	4.752
semiurban	12/10/2021	RA12	RA12-5	1.75	0.127	100	peel	3.128
semiurban	12/10/2021	RA27	RA27-1	2.25	0.082	100	peel	4.994
semiurban	12/10/2021	RA24	RA24-2	1.75	0.115	100	peel	3.272
semiurban	12/10/2021	RA30	RA30-2	1.25	0.107	200	peel	3.586
semiurban	12/10/2021	RA14	RA14-1	2.75	0.14	100	peel	4.714
semiurban	12/10/2021	RA19	RA19-2	1.75	0.085	100	peel	3.809
semiurban	12/10/2021	RA49	RA49-5	2.25	0.137	200	peel	5.535
semiurban	12/10/2021	RA41	RA41-1	1.5	0.128	200	peel	3.844
semiurban	12/10/2021	RA38	RA38-4	1.25	0.083	100	peel	2.756
semiurban	12/10/2021	RA44	RA44-2	0.75	0.159	100	peel	1.222
semiurban	12/10/2021	RA22	RA22-5	1.75	0.118	200	peel	4.716
semiurban	12/10/2021	RA1	RA1-4	1	0.147	100	peel	1.68
semiurban	12/10/2021	RA43	RA43-1	2.5	0.127	100	peel	4.469
semiurban	12/10/2021	RA14	RA14-5	1.25	0.154	200	peel	2.873
